,title,author,date,tag,collection,transmit,comments,songs,play
504,第一次遇见花香的那刻,In-Oasis,2021-11-21,华语-思念-影视原声,265,3,8,14,22040
505,温柔古风丨但愿你日子清净 梦里灯少寒 ,戴知山,2021-10-26,华语-古风-治愈,987,8,12,60,66052
506,野马分鬃｜影视原声带,趣鸭,2021-11-22,华语-运动-影视原声,40,2,32,13,18894
507,『笔尖魔法』提速99%的学习纯音,來自十九層地獄__,2021-08-30,流行-学习-轻音乐,10974,89,46,41,2624134
508,周杰伦的后花园,赵优秀哦,2021-11-19,华语-流行-经典,262,分享,2,185,17470
509,大湾仔的夜歌单,BWaiting_X,2021-11-18,怀旧-华语-粤语,188,1,3,18,21721
510,波比的游戏时间（poppy playtime）OST,蛞蝓猫南博万,2021-11-10,游戏,188,分享,8,11,19070
511,PANTHENIGHT熊猫团,ET_宇航员,2021-10-27,华语-说唱-90后,203,1,评论,49,19780
512,Breathe,EndlessAbyss--,2021-11-15,欧美-摇滚-游戏,669,708,评论,86,14988
513,Tick Tick Boom,Spievt,2021-10-24,影视原声,515,13,5,17,18898
514,可惜我的爱一直让我掉眼泪,温寢,2021-11-09,华语-夜晚-伤感,1242,2,评论,50,15635
515,送给女朋友甜甜的歌单～,你口中的绅士,2021-11-14,轻音乐-流行-浪漫,835,8,评论,83,15635
516,冬日秘语｜和落叶交换温柔 和飞雪置换美梦,韩卓轩i,2021-11-10,华语-流行-治愈,241,126,110,73,42299
517,极限竞速地平线5 Bass电台,改了个坏名字,2021-10-26,欧美,255,3,评论,17,17508
518,酒吧学习法歌单,焦糖迈奇朵_Shirley,2021-12-04,学习-酒吧,1411,21,53,49,19020
519,“一生不缺浪漫，唯独装不下遗憾”,落花时节逢故知,2021-11-21,孤独-伤感-浪漫,235,102,1,53,18894
520,“尝遍世间的孤独”,説与山鬼听聽,2021-11-20,伤感-治愈-孤独,218,1,评论,73,13837
521,Free Beat /lil peep /NEW WAVE,應該愛愛我的人,2021-12-14,说唱-流行-电子,7617,12,评论,46,79941
522,节日特供丨圣诞夜的音乐大餐,环球古典及爵士,2021-12-10,治愈-感动-快乐,109,2,评论,24,14173
523,宝藏合唱丨全能治愈的正太少年萝莉御姐们,洛逸是不二少年,2021-11-29,治愈-00后-流行,145,分享,1,42,12460
524,难道只有经历才会懂么？！,徐小伟520,2021-11-27,孤独-伤感,206,2,评论,118,12409
525,IMP小鬼，素婉，鸟鸟，直播间BGM,M牛牪犇,2021-11-04,运动-酒吧,301,9,3,51,14929
526,运动时的激情音乐|释放荷尔蒙|致努力的你,迷离loveing,2021-12-04,运动-兴奋-流行,2120,112,评论,25,12229
527,且听风吟，静待花开。,Aphelion1,2021-11-23,流行-华语-地铁,835,1,2,61,12216
528,世间的浪漫与你同在,万古发家,2021-11-27,华语-民谣,555,分享,评论,46,12023
529,酒吧越南鼓 一起擦玻璃（黑桃A在空中飞）,她叫杨斑鸠,2021-10-16,电子,149,1,1,31,14329
530,pt.11 Heartbreak English Playlist | LSEA,LSEA0912,2021-11-05,欧美-夜晚-安静,969,5,2,15,12426
531,我堆积的思念听得见吗,George-Chuan,2021-11-14,华语-思念-流行,221,2,1,28,11279
532,夜深了还没睡吗,即使风景都尘埃我会一直在,2021-12-09,华语-流行-伤感,441,2,评论,31,11502
533,健身房 | 举铁 跑步 会上头的BGM,一只眼睛的鹿_,2021-08-26,流行-运动-电子,6099,107,21,65,1173288
534,花会再开 但不再是你的那朵花,她无幸得以相伴,2021-12-09,伤感-安静-孤独,13,分享,评论,132,11292
535,00后男生的听歌列表,你也听过雨吗,2021-11-28,华语-流行-网络歌曲,397,分享,2,131,10838
536,最好听的中文说唱 这一波齐了（持续更新）,不卖花的花店,2021-12-02,华语-治愈-说唱,138,分享,评论,131,11036
537,“如何融化 你的冰川”,L07o,2021-12-05,浪漫-旅行-说唱,271,313,3,57,10717
538,夜深了，该睡觉了。,失眠症患者_-_,2021-10-13,钢琴-孤独-轻音乐,814,4,19,77,13447
539,声入人心第一季+歌手 节目原声带！,Crazy嘉想成为大学霸,2021-10-29,华语-欧美-综艺,599,7,17,112,15895
540,一个射手座的听歌列表,三千大世界7,2021-09-24,治愈-流行-华语,8361,211,74,297,1028906
541,避风港,司恶,2021-12-14,治愈-孤独,1048,分享,评论,45,10318
542,［不一样的圣诞］超治愈的欧美歌曲,月牙泉上打过人,2021-12-04,欧美-流行,2004,1002,评论,62,10091
543,二十岁后的人生好像被按了加速键,陈渝Ya,2021-11-09,流行-伤感-思念,2961,4,111,240,967603
544,伤感边路BGM,万人仰我词,2021-08-22,伤感-游戏-翻唱,7053,37,30,144,974012
545,2021张杰未live曜北斗演唱会 合集,_Olina,2021-10-17,华语-经典,296,8,5,48,12502
546,「心情游走」我好像一艘小船♋陷在情绪漩涡,Tataaaaaaa_,2021-11-19,华语-夜晚-放松,5044,64,125,41,857941
547,IMP小鬼直播歌曲 gt大队,丹哥GT大队,2021-11-05,流行-摇滚,290,6,9,46,15001
548,网易没版权系列,XXXTENTACION-CSC,2021-05-14,流行-说唱-思念,57271,1023,511,317,2959292
549,【香港经典 | 怀旧歌曲】一起回到黄金时代,Justin爱吃水煮鱼,2021-11-23,粤语-怀旧-经典,1923,16,19,70,782378
550,「国风纯音」情愿.情怨,Zeroizey,2021-11-12,轻音乐-古风-器乐,2107,858,12,39,1035958
551,Vicetone歌曲全收录,VicetoneMusic,2021-12-03,欧美-电子,556,12,34,109,12153
552,“有些路怎么走都是辜负”,夜辰tut,2021-09-24,华语-流行-伤感,4639,36,22,129,793891
553,因为遇见了温柔的人，所以想温柔待人,少女的喜欢_,2021-10-16,华语-流行-浪漫,13643,25,6,49,266980
554,游戏KiNG • 必听变身节奏BGM•超燃,-甜饼怪BABE-,2021-11-21,兴奋-游戏-电子,15935,20,4,104,293603
555,韦斯莱双子梦女 伯明翰辣爹YouCanBeTheBoss,Pleasemindthegap,2021-10-25,欧美-夜晚-影视原声,489,1,38,40,8890
556,「云村致谢信」感恩有你，相伴岁岁年年,云音乐歌单之友,2021-11-23,流行-治愈-感动,5353,68,407,26,687345
557,Jay周杰伦,与樂听jay,2021-12-06,华语-流行-经典,699,33,5,130,20267
558,Ëvilroim丨Müsic,Evilroim丨Music,2021-12-04,欧美-华语-日语,87,3,2,41,8125
559,Jay个人歌单,XXXTENTACION-CSC,2021-11-10,华语-90后-说唱,863,15,9,80,36652
560,把爱留在暴雨天,我总想透过你的窗户看月亮,2021-11-28,华语-流行-感动,541,3,1,160,7718
561,『治愈基地』时间是疗伤最好的良药,KIND_CL,2021-11-11,华语-流行-治愈,4080,11,4,85,594403
562,一个天蝎座的听歌列表,用户yongfangci19600119-,2021-11-12,华语-流行-夜晚,6586,22,13,104,576163
563,一期一会 | 愿未来会再接收到 来自你的讯号,献给莉莉的玫瑰,2021-11-18,华语-夜晚-治愈,4605,63,67,45,570341
564,靳译肯车上的歌（女校）,Xusui周京泽,2021-10-29,驾车-快乐,285,3,评论,21,10204
565,寒来暑往，秋收冬藏，我们来日方长,用户loucufan19750318-,2021-11-10,华语-流行-夜晚,4835,1,1,92,536321
566,粤语｜雾起四海，滨纷乐园,攒写,2021-11-24,粤语-经典,339,3,2,52,7021
567,抗干扰轻音：隔绝杂忧，研心习题,sdh54152,2021-12-09,轻音乐-学习-工作,907,60,评论,110,516136
568,一个水瓶座的听歌列表,花毛峰HMF,2021-11-12,华语-流行-伤感,6488,60,54,128,570879
569,谢谢出现在我的生命|你特别温柔，特别值得,早起呆毛会炸,2021-11-25,华语-治愈-浪漫,4737,76,85,45,477488
570,那天晚上 雨哭了好久,刘正武武武,2021-11-22,华语-流行-伤感,7349,267,28,103,534713
571,滚石40年 滚石撞乐队 | 40团翻唱&原唱合辑,五月未了,2021-12-03,华语-流行-摇滚,229,13,2,40,10028
572,古风｜看小说时听的歌单⑩,ARP-ONE,2021-08-22,古风-学习-安静,3614,53,19,398,488769
573,轻轻的说爱你，怕打扰！,欧阳鹏oyp,2021-10-22,华语-流行-说唱,4036,9,评论,69,425114
574,一个巨蟹座的听歌列表,桃花灼情乐,2021-11-10,华语-流行-夜晚,4223,14,3,105,419906
575,过去·与你｜希望我走过的每步都写满不回头,亲爱的虾皮女士,2021-11-20,华语-夜晚-孤独,4004,63,87,45,414744
576,一个狮子座的听歌列表,小懒很懒啊,2021-10-11,流行-治愈-伤感,1393,43,5,86,398700
577,泡在图书馆 | 早九晚八的阅读时光,路过的风吹了,2021-11-25,轻音乐-学习-工作,2701,分享,评论,53,393828
578,【泰剧】《他不是我 / Not Me 》,笼中鸟-OG,2021-11-30,影视原声,373,2,34,35,15454
579,红眼专属（不定时更新),辰熙_eHqw,2021-07-28,流行-快乐,8928,46,63,39,493267
580,伤感歌单｜最后还是散了,GYiFi,2021-11-04,华语-流行-治愈,12093,16,3,26,1129570
581,学习加油站 | 文科生的解压图书室,欲望始终难抵你,2021-11-25,学习-工作-轻音乐,2442,7,6,88,384752
582,满足(•̀ω•́)✧周五拍了拍你说周末愉快,夏天种花秋天晒太阳,2021-12-10,华语-说唱-快乐,2810,57,130,45,372194
583,一个天蝎座的听歌列表,世间温柔皆可期,2021-10-03,华语-流行-浪漫,5594,130,108,1297,396789
584,盘尼西林 2021巡演,勤劳勇敢自强不息团结有爱,2021-11-18,华语,127,10,13,16,6357
585,2022华语歌坛最新热门流行歌曲,长裙小矮子_l,2021-12-13,华语-流行-榜单,8013,231,2,193,357712
586,今天温柔的风归功于昨天的雨,用户ronghang19820415-,2021-11-10,华语-夜晚-怀旧,4114,9,3,142,339228
587,一年一度喜剧大赛,黄油饼干盒子,2021-11-22,华语-综艺-快乐,82,分享,11,63,10981
588,关于我的故事还是听我的版本好一点,用户quanzai19830612-,2021-11-11,华语-怀旧-流行,5969,分享,2,90,323062
589,『边路伤感』超好听歌曲推荐｜网络热歌,哥哥要喝排骨汤吗,2021-12-02,网络歌曲-伤感-游戏,7762,2321,10,178,418906
590,听完这首歌，就把你忘记了,青岄,2021-09-07,华语-翻唱-伤感,2191,216,10,113,479050
591,超好听的翻唱集 伤感歌 emo合集,llllllllssssha,2021-11-04,流行-翻唱-伤感,275,分享,1,148,6403
592,（记得夜深入眠）愿你一切安好,宫瑾毅-阿毅,2021-11-12,清晨-夜晚-学习,1174,分享,101,209,4576
593,也曾以为你是世界上另一个我,VY魏歪,2021-10-02,华语-流行-伤感,3116,258,14,69,496791
594,Gittar ， 【吉他歌】,Ershati,2021-12-06,民族-舞曲-民谣,261,1,评论,48,4580
595,街头少女战士 Street Dance Girls Fighter,小发的耳朵,2021-11-16,舞曲-流行-欧美,151,分享,5,146,8671
596,治愈 温柔 学习,橙小澄啊,2021-12-10,学习-治愈,1087,7,11,50,8348
597,冬日心动记录♡ | 留住时间溜走的每分每秒 ,听音乐吃火锅看烟花,2021-12-15,华语-夜晚-安静,3004,35,83,48,369334
598,一个双鱼座的听歌列表,在你的心里走了,2021-09-24,华语-流行-夜晚,2100,22,8,308,275623
599,『浪漫rap』队长/刘思达/JonyJ/是告白的歌,肆玖新青年,2021-10-31,说唱-华语-浪漫,1784,31,7,166,300017
600,电影《沙丘(DUNE)》2021 原声BGM ,Ari非官方指定美黑师,2021-10-22,欧美-影视原声,4772,215,99,40,268126
601,静心休息 舒服纯音乐,雾中的河,2021-10-11,轻音乐-学习-放松,13160,8,4,134,99412
602,纯音乐图书馆•简单干净钢琴旋律,人生苦短555999,2021-12-11,轻音乐-学习-工作,1254,33,评论,347,264334
603,那些百听不厌的民谣,正正依旧在努力,2021-11-29,民谣-怀旧-感动,283,104,1,108,4291
604,唐恬 致拯救过我们的词,Thousandsofgraves,2021-12-04,流行-学习-治愈,826,9,8,53,24623
605,【纯音乐】全是好听的纯音乐！,会如影随形,2021-12-02,ACG,1423,分享,评论,43,4610
606,催泪100%：爱而不得，满是遗憾,浮世千千万万,2021-11-23,华语-伤感-孤独,2910,29,3,281,293234
607,温柔男声 ｜停止思考，安静听歌,赤兔死带喔,2021-10-01,流行-华语-清新,2945,254,51,82,260818
608,一个水瓶座的听歌列表,然然K2Y,2021-11-12,华语-流行-夜晚,2699,4,5,104,255903
609,玫瑰藏于身后，期待与你邂逅,原创君,2021-12-02,华语-流行,1138,30,18,20,252557
610,雄狮少年 电影配乐,-迟小枣-,2021-12-10,华语-影视原声,82,7,2,13,16580
611,第一人称单数（附录全）,莫酱,2021-11-19,爵士-古典-摇滚,353,14,27,76,5580
612,两个人听的情歌｜想与你围炉煮酒，看淡四季,naomizww,2021-11-04,流行-浪漫-校园,1578,32,7,50,245921
613,DEPAPEPE’s ROOM,DEPAPEPE_official,2021-11-27,日语-吉他,253,22,19,15,4433
614,让你充满想象的纯音乐,洽与,2021-09-06,轻音乐-夜晚-浪漫,2705,256,14,40,232565
615,我沿着星河捡着你遗落在月亮旁的浪漫,RAN甜隐隐,2021-09-26,华语-伤感-孤独,1531,243,4,61,244325
616,那些超燃超带感的英文歌【精选合集no.1】,倾难V,2021-08-10,欧美-电子-游戏,4410,40,28,30,235029
617,[冬季儿歌] 健健康康过冬天,云音乐亲子频道,2021-12-06,儿童,35,1,评论,52,4706
618,耳机里的音乐是我最低成本的快乐,小樊很丧,2021-11-30,流行-华语-网络歌曲,268,分享,1,253,4139
619,道理都懂，可眼泪还是止不住的流,星际小罗罗,2021-11-07,华语-夜晚-伤感,2420,12,6,243,219809
620,国内最全后朋乐笔记整理,洪世贤南京分贤,2021-12-07,华语-摇滚-另类/独立,604,3,7,92,3944
621,Pep.Vlog.Mlog | bgm,xxx7ann,2021-11-17,流行-运动-快乐,280,22,评论,75,3715
622,Fetters ,_Shawn阿栀,2021-11-27,治愈-安静-思念,150,1,评论,44,3598
623,DRUCK S7 Sascha和Ismail的共享歌单,硫酸信纸,2021-10-31,欧美,237,2,7,74,4354
624,极限竞速地平线5 - Hospital Records,Rie1337,2021-11-14,游戏-电子,71,4,5,20,4538
625,我们没有以后了,米儿_Cinderella,2021-11-17,流行-伤感-夜晚,2090,150,评论,47,199746
626,一个射手座的听歌列表,路过的风有没,2021-11-29,华语-流行-伤感,2573,6,1,217,203068
627,伤感｜要及时清醒 也要事事甘心,哔哔哔朴3611,2021-10-18,华语-治愈-伤感,2454,246,4,58,202925
628,努力做个快乐普通人,vft01d,2021-11-11,华语-怀旧-夜晚,2686,14,2,143,196991
629,感情是对抗路的大忌.,Bamboo竹子社团,2021-09-16,游戏-伤感-翻唱,2227,112,10,115,202400
630,「学习歌单」以梦为马，不负韶华,星星不会发光的地方,2021-12-02,轻音乐-夜晚-学习,2050,4,2,1494,188860
631,一个只有双子座才能听懂的听歌列表,隐败kk,2021-10-01,华语-流行-伤感,2739,26,58,121,249650
632,一个水瓶座的听歌列表,koji55,2021-11-10,华语-流行-夜晚,1581,3,1,92,174365
633,「古风」风的方向~,Quiet-v,2021-12-04,古风-放松,137,分享,评论,142,3224
634,（说 唱 情 歌）补充浪漫想像力,不文艺的Un,2021-12-10,说唱-浪漫-夜晚,234,199,评论,34,3173
635,Progressive House | 梦幻渐进， 涤荡心魂,Martin网易云Carlos,2021-11-27,欧美-电子-兴奋,1524,分享,评论,72,3220
636,等你熬过所有的苦，就会遇见所有的好,一片孤叶行舟,2021-11-23,华语-流行-夜晚,2491,4,3,240,180535
637,承诺做不到和撒谎有什么区别.,awslawsl-,2021-10-22,伤感-流行-华语,2510,122,15,109,205697
638,FREE BEAT✧由Beatmaker精心挑选工业级节拍,Silver_The_Dilen,2021-12-09,说唱-R&B/Soul-爵士,103,分享,评论,67,3144
639,「請妳進入我的另類情緒世界」,lluem,2021-12-13,摇滚-另类/独立-朋克,312,20,评论,53,3081
640,张洽的另一半耳机,姝男呐,2021-12-04,治愈,107,1,7,19,4097
641,落日飞车［夕阳无限好听］巡演歌单,有个陷阱他们早就已经沦陷,2021-12-11,华语-摇滚-酒吧,273,18,1,22,7785
642,﹩$奇思妙想&﹪ | 快乐星球持证驾驶员,酷洛米大人的飞行笔记,2021-12-14,华语-浪漫-快乐,3036,34,91,47,250952
643,宿命回响——钢琴曲或原曲,轩辕辚,2021-11-19,器乐-经典-钢琴,134,分享,评论,23,3946
644,新しいsoul,釉夢,2021-11-29,R&B/Soul,389,4,20,19,3182
645,终其一生满是遗憾，不爱一目了然,是庚野啊,2021-11-06,华语-流行-伤感,2490,131,1,51,156356
646,学习纯音 | 用世间所有的路填平青春,口味_grRR,2021-12-04,轻音乐-学习-工作,1868,3,2,56,151417
647,做你自己，爱你的人自然爱你,x9w658,2021-11-12,华语-流行-夜晚,2804,4,评论,143,154092
648,网易没版权系列,XXXTENTACION-CSC,2021-05-14,流行-说唱-思念,57271,1023,511,317,2959363
649,炫酷说唱:耍帅一哥还得是rapper,不再犹豫_czEt,2021-11-27,华语-流行-说唱,2961,16,2,120,155847
650,时间从来不语，却回答了所有问题,gReceYME,2021-11-28,华语-流行-伤感,633,6,3,221,150052
651,深夜安眠曲 | 习惯在无数个失眠的深夜,云村村民163746913233883,2021-12-04,轻音乐-学习-工作,3016,371,1,56,142853
652,Techno | 深邃而又无尽的启示,Silent_Appreciator,2021-11-23,电子-驾车-安静,1492,1,评论,69,2825
653,耳机党福利｜好听到炸的英文歌,不必躲着我了,2021-11-13,欧美-流行,1115,1,评论,33,2825
654,浴室歌王丨你洗澡时都会跟着唱的歌,星外星音乐,2021-11-03,华语-流行-放松,545,10,5,50,141080
655,Lofi/人声采样 · 故事汇聚成诗,更汗的887,2021-12-12,轻音乐-学习-午休,2830,43,1,50,128611
656,不提及从前你的好，不无理取闹也不会再打扰,想昵称想得头大,2021-11-10,夜晚-伤感-孤独,1530,5,评论,579,129253
657,你会爱上这个歌单④,赶海少女,2021-11-11,流行-治愈,1161,7,3,1394,134533
658,用情至深的rappers,L-yk__,2021-12-02,R&B/Soul-ACG-影视原声,1509,分享,评论,21,2585
659,超神押韵 | 跟着丝滑的flow晃就完事了,浩瑄Acme,2021-12-08,华语-说唱-兴奋,4128,145,5,86,163828
660,我最怕突如其来又不负责任的喜欢,小彬林彡,2021-11-07,华语-流行-治愈,2280,125,1,41,124705
661,我没有爱可以浪费了,琛崽家的小祖宗朵児M_,2021-11-17,流行-思念-伤感,2011,128,2,44,117825
662,颓丧入骨：感受lofi里的潮湿绝望,林楠萌,2021-12-12,轻音乐-工作-放松,1640,44,评论,77,117191
663,因为喜欢可以迎万难,温子琛,2021-11-06,流行-华语-伤感,2229,113,1,47,116389
664,动画【银翼杀手：黑莲花】,恰如你所爱,2021-11-17,欧美-旅行-影视原声,116,2,3,48,3594
665,丧Rap｜Emo旋律必备救心丸,DOGGYE-,2021-11-29,夜晚-伤感-说唱,2113,113,3,20,113629
666,V家大合集，每一首都很经典哦,xbcrystalheart,2021-11-14,华语-ACG-日语,7693,123,2,106,113764
667,德最3 | 最难忘的游戏音乐,表情银行MIMIK_BANKA,2021-11-05,游戏,156,分享,6,14,2585
668,节奏控|电子竞技不需要感情,治愈说,2021-12-04,电子-运动-兴奋,219,1,评论,30,2556
669,含糖Rap贩卖机丨冬日恋爱日记,银河味苏打,2021-11-26,华语-说唱-浪漫,1154,14,13,23,113050
670,【纯音乐】陌生的城市，陌生的街,L杨o,2021-12-09,轻音乐-夜晚-孤独,2702,53,评论,73,236630
671,有人关怀，再冷的天，也是暖的,你说你不要了,2021-11-23,华语-流行-伤感,3357,7,4,128,115082
672,纯音乐，适合写作时，安静时放，放松心情。,回忆_love_YUHZ,2021-11-29,清新-00后-放松,152,分享,1,225,2308
673,好啦听几首就乖乖睡觉了,C-aptain_,2021-11-29,轻音乐-夜晚-安静,135,分享,评论,108,2296
674,无词音乐，无限遐想,从此勿喜,2021-09-03,轻音乐-浪漫-治愈,1746,257,5,35,103226
675,治愈古风 | 潮起潮落，花开不惑,刘珂矣,2021-11-29,古风-治愈-安静,97,5,4,30,2585
676,生活不是电影 我们也差了点运气,裴小堂,2021-12-11,流行-驾车-伤感,136,1,1,42,2371
677,或许是我太过于多情伤感.,跟我一起虚度光阴,2021-09-28,华语-流行-伤感,1750,114,6,115,113717
678,温柔歌曲 | 一束花的的时代永不过时,贝克克_,2021-11-24,华语-治愈-散步,587,10,1,72,110244
679,非常规巡航×张蔷VS 你我他成都站,仐十叁的耳朵,2021-12-03,摇滚-怀旧-快乐,69,7,1,19,2905
680,北欧民谣净化心灵的声音,今天有说早上好,2021-11-25,民谣-欧美-乡村,1211,分享,评论,29,2174
681,一个摩羯座的听歌列表,來自十九層地獄__,2021-07-22,华语-流行-夜晚,10105,18,25,141,2614905
682,精彩车载西语【】法语【】德语,2o9i,2021-12-01,拉丁-世界音乐-民族,657,分享,评论,57,2140
683,华语甜度100%丨只有甜甜的情歌才能瞬间治愈,_狗十三-,2021-10-25,华语-浪漫-放松,498,10,5,40,99034
684,「说唱hiphop 【中文精选】Made in China,-甜饼怪BABE-,2021-11-24,华语-流行-说唱,15714,66,6,682,346864
685,幸运在你身边｜能做百分百自己,Nubeyond,2021-11-20,浪漫-说唱,1011,分享,评论,56,2115
686,超甜的旋律rap,少女的喜欢_,2021-11-15,流行-说唱,22015,8,评论,65,244174
687,或许也深情过吧,可惜恋爱偏不像写歌,2021-12-09,伤感-流行,1538,分享,评论,107,2165
688,一个白羊座的听歌列表,星星为谁哭了,2021-09-24,夜晚-华语-流行,9165,82,15,187,1255687
689,今晚做个好梦吧,我是稳健噢,2021-12-12,治愈-放松-安静,25,分享,评论,78,2069
690,纯音乐｜逃进汹涌人潮，寻找藏身一角,是怡啊LJY,2021-09-05,安静-治愈-轻音乐,1557,268,8,46,93284
691,提神良方 | 助你击退节后综合症,云村村民163551316701932,2021-12-07,轻音乐-学习-工作,1146,669,评论,40,94700
692,Chill&Lo-Fi｜夏日迷弥梦氛围,天赋异禀噢,2021-12-12,轻音乐-学习-工作,675,40,评论,128,88958
693,说唱⭕️里的贫穷窟,大概是个好人a,2021-11-12,华语-说唱-经典,98,5,3,230,2275
694,生活总会在最深的绝望里，遇见最美丽的风景,来图_NvBX,2021-12-05,华语-流行-伤感,2705,4,评论,216,126931
695,秋日的歌 | 秋天该很好 你若尚在场,云音乐经典专区,2021-10-26,流行-怀旧-经典,204,3,1,30,90315
696,一个巨蟹座的歌单,一只眼睛的鹿_,2021-11-06,华语-流行-说唱,2648,24,30,154,1051595
697,用心甘情愿的态度，过随遇而安的生活,柠檬味的TEA_,2021-11-24,华语-流行-夜晚,848,5,评论,90,83620
698,原神全角色演示pv收集（up池顺序）,小夫乀米丿我要进来了,2021-11-11,ACG-游戏-工作,89,2,4,37,3136
699,一年一度喜剧大赛BGM,TolerLine,2021-11-28,快乐-综艺-流行,107,分享,1,50,3812
700,Vol.1 | VIP用户不为人知的听歌爱好,云音乐VIP,2021-12-03,流行-治愈,1921,10,46,30,95246
701,落日余晖｜橙色的黄昏衬托初秋的心动,北方易先生,2021-10-09,欧美-流行-快乐,822,8,3,30,75182
702,「 热 门 雷 达 」 听腻了你们才知道的宝藏,Candytone,2021-08-23,流行-治愈-伤感,910,19,5,649,95376
703,生活需要加点糖,被雪飘过De夏天,2021-11-18,治愈,1356,9,4,719,78433
704,享受孤独丨一个人独处也是和地球的约会,四季里的懒睡猫,2021-12-08,华语-流行-孤独,447,5,评论,36,81218
705,（2019初版）学习歌单‖极静轻音乐,满地星星碎,2021-11-23,轻音乐-古典-学习,130,3,4,400,2270
706,华语情歌 | 晚风吹走所有伪装的坦白,来我厨房,2021-12-01,华语-流行-感动,239,5,3,42,64145
707,华语经典 | 乐坛唱将成名曲目精选合集 ,蜜糖男孩,2021-10-27,华语-流行-经典,514,10,13,98,75388
708,睡前音律 | 月随风摇曳伴音沉眠,来日相聚就是缘,2021-12-12,轻音乐-学习-治愈,806,45,评论,199,60461
709,杨紫女心理师治愈歌单,蘑墨,2021-12-12,轻音乐-流行,14,1,评论,21,2468
710,俄语精选丨车载必备,LiriCam,2021-10-11,电子-舞曲-驾车,945,4,评论,343,74964
711,【泰剧】 两小无拆/是朋友还是男友 OST&BGM,Monikallll,2021-12-03,影视原声-流行-午休,15,1,1,43,2455
712,「极静氛围」与天地同眠,Zeroizey,2021-11-15,轻音乐-夜晚-安静,1087,326,12,51,1439791
713,100位国产后摇乐队：面朝大海哭泣的诗人,不二大叔呀,2021-12-07,华语-摇滚,594,7,2,157,98757
714,治愈歌单｜其实一个人过也很好,GYiFi,2021-11-12,流行-治愈-华语,15221,367,11,43,1312437
715,世纪同台！Ye&Drake Free Larry Hoover,YoungJamBEATs,2021-12-10,欧美-说唱-流行,46,2,1,41,1804
716,【Pitchfork】2021年度最佳50张专辑,恣肆丹青,2021-12-07,欧美-榜单,368,8,14,50,55879
717,周末时光 | 惬听轻语 静享风吟,见青山t,2021-12-15,学习-午休-轻音乐,1029,51,评论,72,50444
718,“不叹世道苍凉，不惹情思哀怨”,过往早已变得平淡_,2021-12-12,伤感,1049,4,评论,849,65094
719,slant杂志：2021年最好的50首单曲,E3-c7,2021-12-09,欧美-流行-另类/独立,380,6,3,50,52112
720,我会永远记得你,用户4953412195,2021-12-09,轻音乐-伤感-感动,2810,69,评论,79,49504
721,一个金牛座的听歌列表,KIND_CL,2021-09-26,华语-流行-治愈,5227,795,37,242,575335
722,天冷了，听个歌单暖一下吧,小陈同学的美滋滋生活吖,2021-11-18,治愈,533,2,1,761,49163
723,一期一会 | 愿未来会再接收到 来自你的讯号,献给莉莉的玫瑰,2021-11-18,华语-夜晚-治愈,4605,63,67,45,570346
724,一个只有白羊座才能听懂的听歌列表,找不到我了吧笨蛋m,2021-11-18,华语-流行-伤感,718,7,1,126,60865
725,【纯音乐】以纯音愈我心,以最卑微的世界想念你,2021-12-09,轻音乐-治愈-感动,896,60,评论,106,48181
726,你是艺术品 而我正好是个艺术家,Yasahime,2021-12-02,华语-流行-治愈,606,2,评论,116,68672
727,纯音乐 星星会不会太冷,谁说不是很多,2021-12-10,轻音乐-怀旧-孤独,2675,52,评论,72,48248
728,以梦为伴，不负朝华,啊你在说什么呀,2021-11-22,轻音乐-夜晚-学习,522,2,2,1592,48874
729,凡是回忆都有戒断反应,大鱼屿_,2021-12-09,轻音乐-怀旧-伤感,2705,55,评论,52,47819
730,每个冬天的句点都是春暖花开,用户loucufan19750318-,2021-11-10,华语-流行-夜晚,4038,4,评论,90,538035
731,一个巨蟹座的听歌列表,用户yongfangci19600119-,2021-11-12,华语-流行-夜晚,5322,23,4,97,535985
732,0.5倍速放慢｜生活普普通通，日子乐在其中,Tataaaaaaa_,2021-12-04,华语-夜晚-放松,5318,65,105,46,520966
733,学习小时光丨宅家也要自律的阅读,sdh54152,2021-12-09,轻音乐-学习-工作,732,68,评论,119,513440
734,音乐x药方｜每天几件重要的小事,郭小寒,2021-10-11,民谣-清晨-清新,697,42,19,50,46984
735,2021年Billboard单曲年终榜,MusicalTimes,2021-12-03,欧美-流行-R&B/Soul,71,3,3,100,1883
736,李荣浩广州演唱会歌单,DeterminationZZH,2021-12-03,华语-流行,34,3,2,36,1582
737,学习纯音丨与星河坠入书海漂泊,但求死而无憾,2021-12-08,轻音乐-学习-下午茶,1771,74,评论,111,43691
738,始于脸红，终于眼红.,夜辰tut,2021-09-11,华语-流行-伤感,4066,29,12,126,547439
739,「安眠轻音」奏响睡意来袭的乐章,圆圆于萱,2021-12-09,轻音乐-学习-工作,805,63,评论,200,43758
740,大哥远专属DJ！,星野川隆,2021-12-08,流行-民谣-华语,124,2,评论,39,10780
741,一个巨蟹座的听歌列表,花毛峰HMF,2021-11-12,华语-流行-治愈,6041,41,33,128,598292
742,TV动画《国王排名》王様ランキング,叽律叽,2021-10-16,日语-影视原声-ACG,407,1,6,12,42800
743,减压疗愈馆丨人间朝暮，叶落惊秋,俞嘉胜,2021-12-08,轻音乐-学习-工作,1734,222,评论,41,39881
